tableName,tableId,permission
Subsidiaries,accountingbooksubsidiaries,Setup - Accounting Book
Subsidiary,accountingbooksubsidiarymap,Setup - Accounting Book
Accounting Context,accountingcontext,Setup - Set Up Company
Destination,allocationscheduledestination,Transactions - Create Allocation Schedules
Source,allocationschedulesource,Transactions - Create Allocation Schedules
Attendees,attendee,Lists - Events
Billing Operations,billrun,Transactions - Invoice
Billing Operation Schedules,billrunschedule,Transactions - Invoice
Billing Account Billing Schedule,billingaccountbillcycle,Lists - Customers
Billing Rate Card,billingratecard,Setup - Accounting Lists
Pricing,billingratecardpriceforsearch,Setup - Accounting Lists
Pricing,billingratecardpricemultiforsearch,Setup - Accounting Lists
Billing Rate Card Version,billingratecardversion,Setup - Accounting Lists
Bill of Materials Revision Component,bomrevisioncomponent,Lists - Bill of Materials
Bill of Materials to Subsidiary Map,bomsubsidiarymap,Lists - Bill of Materials
Budget Line,budgetsmachine,Transactions - Set Up Budgets
Bulk Processing Submission Lines,bulkprocsubmissionline,Setup - Set Up Company
Issues,businesseventsprocessinghistorytransactionmap,Lists - Notes Tab
Address,companyaddressbookentityaddress,Lists - Address
Bulk Merge,companybulkmerge,Lists - Mail Merge
Campaigns,companycampaigns,Lists - Campaign History
Contacts,companycompanycontact,Lists - Contacts
Event,calendarevent,Lists - Events
Charge Rule,chargerule,Transactions - Charge Rule
Charge Run Status,chargerun,Transactions - Charge
Competitor,competitor,Lists - Competitors
Competitor,competitoropportunity,Transactions - Opportunity
Contact,contact,Lists - Contacts
Address,contactaddressbookentityaddress,Lists - Address
Bulk Merge,contactbulkmerge,Lists - Mail Merge
Contact Category,contactcategory,Setup - CRM Lists
Campaigns,contactcontactcampaigns,Lists - Campaign History
Contact,contactcontacttypemap,Lists - Contacts
Contact Role,contactrole,Lists - Contact Roles
Contact-Subsidiary Relationship,contactsubsidiaryrelationship,Lists - Contacts
Countries,countries,Setup - Set Up Company
Expenses,creditcardchargeexpensemachine,Transactions - Credit Card
Expenses,creditcardrefundexpensemachine,Transactions - Credit Card Refund
Templates,crmtemplatecategorycrmtemplate,Lists - Template Categories
